Agent,Cond,AgentID,Mean_conf
GPT,4C,52,97.5
GPT,4C,53,96.5
GPT,4C,54,95.5
GPT,4C,55,96.75
GPT,4C,56,98
GPT,4C,57,96.5
GPT,4C,58,95
GPT,4C,59,95.5
GPT,4C,60,97.25
GPT,4C,61,96.25
GPT,4C,62,95.5
GPT,4C,63,95.25
GPT,4C,64,97
GPT,4C,65,97.95
GPT,4C,66,96.25
GPT,4C,67,96
GPT,4C,68,96.75
GPT,4C,69,96
GPT,4C,70,96.75
GPT,4C,71,96.2
GPT,4C,72,97.2
GPT,4C,73,97.5
GPT,4C,74,96.5
GPT,4C,75,95.75
GPT,4C,76,97.5
GPT,4C,77,96.25
GPT,4C,78,95
GPT,4C,79,95.75
GPT,4C,80,96
GPT,4C,81,97.25
GPT,4C,82,97.5
GPT,4C,83,97.75
GPT,4C,84,97.25
GPT,4C,85,96.75
GPT,4C,86,94.5
GPT,4C,87,97.5
GPT,OP,1,95
GPT,OP,2,93.75
GPT,OP,3,91.75
GPT,OP,4,93.95
GPT,OP,5,95
GPT,OP,6,94
GPT,OP,7,92
GPT,OP,8,96
GPT,OP,9,93.75
GPT,OP,10,93.55
GPT,OP,11,93.75
GPT,OP,12,94.5
GPT,OP,13,92.15
GPT,OP,14,93.75
GPT,OP,15,93.75
GPT,OP,16,93.75
GPT,OP,17,94.25
GPT,OP,18,95.25
GPT,OP,19,92.25
GPT,OP,20,90.65
GPT,OP,21,93
GPT,OP,22,94
GPT,OP,23,91.5
GPT,OP,24,93.25
GPT,OP,25,95.25
GPT,OP,26,93.75
GPT,OP,27,95.5
GPT,OP,28,91
GPT,OP,29,92
GPT,OP,30,92.25
GPT,OP,31,94.75
GPT,OP,32,93.5
GPT,OP,33,94.5
GPT,OP,34,92
GPT,OP,35,95.25
GPT,OP,36,94.5
GPT,OP,37,93.75
GPT,OP,38,94
GPT,OP,39,92.5
GPT,OP,40,92
GPT,OP,41,94.25
GPT,OP,42,93.5
GPT,OP,43,93.25
GPT,OP,44,92.75
GPT,OP,45,93
GPT,OP,46,93
GPT,OP,47,94.25
GPT,OP,48,93.75
GPT,OP,49,94.5
GPT,OP,50,90.5
GPT,OP,51,92.75
GPT,OP,52,93.5
GPT,OP,53,93
GPT,OP,54,92.75
GPT,OP,55,93.25
GPT,OP,56,92.75
GPT,OP,57,92.75
GPT,OP,58,93
GPT,OP,59,94.25
GPT,OP,60,93
GPT,OP,61,93
GPT,OP,62,91.75
GPT,OP,63,93.5
GPT,OP,64,93.75
GPT,OP,65,92.5
GPT,OP,66,94.7
GPT,OP,67,94.15
GPT,OP,68,94.75
GPT,OP,69,94.5
GPT,OP,70,96.75
GPT,OP,71,93.5
GPT,OP,72,93.5
GPT,OP,73,92.45
GPT,OP,74,94
GPT,OP,75,93.5
GPT,OP,76,92
GPT,OP,77,92.5
GPT,OP,78,93.5
GPT,OP,79,92.75
GPT,OP,80,92.75
GPT,OP,81,93.25
GPT,OP,82,91
GPT,OP,83,93.75
GPT,OP,84,93.75
GPT,OP,85,93
GPT,OP,86,96.25
GPT,OP,87,94.5
