"Agent","AgentID","Cond","Qnum","Confidence","row"
"Human",6,"op",2,50,302
"Human",6,"op",3,0,303
"Human",6,"op",4,0,304
"Human",6,"op",5,10,305
"Human",6,"op",6,90,306
"Human",6,"op",7,95,307
"Human",6,"op",8,0,308
"Human",6,"op",9,10,309
"Human",6,"op",10,20,310
"Human",6,"op",11,90,311
"Human",6,"op",12,90,312
"Human",6,"op",13,50,313
"Human",6,"op",14,10,314
"Human",6,"op",15,20,315
"Human",6,"op",16,50,316
"Human",6,"op",17,20,317
"Human",6,"op",18,30,318
"Human",6,"op",19,30,319
"Human",6,"op",20,90,320
"Human",6,"2c",1,90,321
"Human",6,"2c",2,100,322
"Human",6,"2c",3,100,323
"Human",6,"2c",4,50,324
"Human",6,"2c",5,80,325
"Human",6,"2c",6,100,326
"Human",6,"2c",7,100,327
"Human",6,"2c",8,80,328
"Human",6,"2c",9,80,329
"Human",6,"2c",10,80,330
"Human",6,"2c",11,100,331
"Human",6,"2c",12,100,332
"Human",6,"2c",13,80,333
"Human",6,"2c",14,70,334
"Human",6,"2c",15,50,335
"Human",6,"2c",16,30,336
"Human",6,"2c",17,60,337
"Human",6,"2c",18,70,338
"Human",6,"2c",19,50,339
"Human",6,"2c",20,100,340
"Human",6,"4c",1,90,341
"Human",6,"4c",2,90,342
"Human",6,"4c",3,70,343
"Human",6,"4c",4,30,344
"Human",6,"4c",5,50,345
"Human",6,"4c",6,90,346
"Human",6,"4c",7,100,347
"Human",6,"4c",8,50,348
"Human",6,"4c",9,50,349
"Human",6,"4c",10,100,350
"Human",6,"4c",11,100,351
"Human",6,"4c",12,100,352
"Human",6,"4c",13,50,353
"Human",6,"4c",14,50,354
"Human",6,"4c",15,50,355
"Human",6,"4c",16,50,356
"Human",6,"4c",17,50,357
"Human",6,"4c",18,80,358
"Human",6,"4c",19,80,359
"Human",6,"4c",20,100,360
"Human",7,"op",1,90,361
"Human",7,"op",2,50,362
"Human",7,"op",3,30,363
"Human",7,"op",4,35,364
"Human",7,"op",5,90,365
"Human",7,"op",6,100,366
"Human",7,"op",7,100,367
"Human",7,"op",8,65,368
"Human",7,"op",9,100,369
"Human",7,"op",10,100,370
"Human",7,"op",11,100,371
"Human",7,"op",12,30,372
"Human",7,"op",13,50,373
"Human",7,"op",14,35,374
"Human",7,"op",15,60,375
"Human",7,"op",16,30,376
"Human",7,"op",17,30,377
"Human",7,"op",18,60,378
"Human",7,"op",19,60,379
"Human",7,"op",20,55,380
"Human",7,"2c",1,90,381
"Human",7,"2c",2,100,382
"Human",7,"2c",3,100,383
"Human",7,"2c",4,60,384
"Human",7,"2c",5,100,385
"Human",7,"2c",6,100,386
"Human",7,"2c",7,100,387
"Human",7,"2c",8,100,388
"Human",7,"2c",9,100,389
"Human",7,"2c",10,100,390
"Human",7,"2c",11,100,391
"Human",7,"2c",12,80,392
"Human",7,"2c",13,30,393
"Human",7,"2c",14,40,394
"Human",7,"2c",15,100,395
"Human",7,"2c",16,60,396
"Human",7,"2c",17,70,397
"Human",7,"2c",18,100,398
"Human",7,"2c",19,50,399
"Human",7,"2c",20,100,400
"Human",7,"4c",1,100,401
"Human",7,"4c",2,100,402
"Human",7,"4c",3,60,403
"Human",7,"4c",4,100,404
"Human",7,"4c",5,100,405
"Human",7,"4c",6,100,406
"Human",7,"4c",7,100,407
"Human",7,"4c",8,100,408
"Human",7,"4c",9,100,409
"Human",7,"4c",10,100,410
"Human",7,"4c",11,100,411
"Human",7,"4c",12,100,412
"Human",7,"4c",13,60,413
"Human",7,"4c",14,50,414
"Human",7,"4c",15,100,415
"Human",7,"4c",16,80,416
"Human",7,"4c",17,60,417
"Human",7,"4c",18,100,418
"Human",7,"4c",19,40,419
"Human",7,"4c",20,100,420
"Human",8,"op",1,90,421
"Human",8,"op",2,20,422
"Human",8,"op",3,98,423
"Human",8,"op",4,10,424
"Human",8,"op",5,10,425
"Human",8,"op",6,70,426
"Human",8,"op",7,99,427
"Human",8,"op",8,20,428
"Human",8,"op",9,10,429
"Human",8,"op",10,20,430
"Human",8,"op",11,60,431
"Human",8,"op",12,50,432
"Human",8,"op",13,20,433
"Human",8,"op",14,5,434
"Human",8,"op",15,30,435
"Human",8,"op",16,1,436
"Human",8,"op",17,20,437
"Human",8,"op",18,20,438
"Human",8,"op",19,10,439
"Human",8,"op",20,20,440
"Human",8,"2c",1,80,441
"Human",8,"2c",2,80,442
"Human",8,"2c",3,80,443
"Human",8,"2c",4,20,444
"Human",8,"2c",5,20,445
"Human",8,"2c",6,20,446
"Human",8,"2c",7,90,447
"Human",8,"2c",8,20,448
"Human",8,"2c",9,20,449
"Human",8,"2c",10,70,450
"Human",8,"2c",11,90,451
"Human",8,"2c",12,50,452
"Human",8,"2c",13,60,453
"Human",8,"2c",14,20,454
"Human",8,"2c",15,60,455
"Human",8,"2c",16,60,456
