"","Agent","Cond","AgentID","Mean_CR","Mean_conf"
"316","GPT","2C",55,0.9,94.25
"317","GPT","2C",56,0.9,96.5
"318","GPT","2C",57,0.9,94.25
"319","GPT","2C",58,0.85,95.5
"320","GPT","2C",59,0.95,94.75
"321","GPT","2C",60,0.95,93.5
"322","GPT","2C",61,0.9,93.5
"323","GPT","2C",62,0.9,94.5
"324","GPT","2C",63,0.85,94.5
"325","GPT","2C",64,0.85,95.5
"326","GPT","2C",65,0.85,95
"327","GPT","2C",66,0.85,96.75
"328","GPT","2C",67,0.85,95.5
"329","GPT","2C",68,0.9,93.75
"330","GPT","2C",69,0.9,93
"331","GPT","2C",70,0.9,96.25
"332","GPT","2C",71,0.85,95.5
"333","GPT","2C",72,0.9,94.25
"334","GPT","2C",73,0.9,93.35
"335","GPT","2C",74,0.85,95.25
"336","GPT","2C",75,0.9,95.5
"337","GPT","2C",76,0.85,96.75
"338","GPT","2C",77,0.85,94
"339","GPT","2C",78,0.85,94.5
"340","GPT","2C",79,0.9,94
"341","GPT","2C",80,0.9,94.5
"342","GPT","2C",81,0.85,96.5
"343","GPT","2C",82,0.9,96
"344","GPT","2C",83,0.85,95
"345","GPT","2C",84,0.85,94.25
"346","GPT","2C",85,0.9,96.5
"347","GPT","2C",86,0.9,96.75
"348","GPT","2C",87,0.9,95.5
"349","GPT","4C",1,0.85,97
"350","GPT","4C",2,0.9,97
"351","GPT","4C",3,0.85,95.75
"352","GPT","4C",4,0.9,97.5
"353","GPT","4C",5,0.9,97.75
"354","GPT","4C",6,0.85,96
"355","GPT","4C",7,0.9,95.5
"356","GPT","4C",8,0.85,95.4
"357","GPT","4C",9,0.9,96.5
"358","GPT","4C",10,0.85,96.25
"359","GPT","4C",11,0.85,97.75
"360","GPT","4C",12,0.9,96.5
"361","GPT","4C",13,0.9,97.5
"362","GPT","4C",14,0.85,97.25
"363","GPT","4C",15,0.9,97.75
"364","GPT","4C",16,0.9,97.25
"365","GPT","4C",17,0.9,98
"366","GPT","4C",18,0.85,97
"367","GPT","4C",19,0.85,96.25
"368","GPT","4C",20,0.9,97
"369","GPT","4C",21,0.9,95.75
"370","GPT","4C",22,0.9,97.5
"371","GPT","4C",23,0.9,99
"372","GPT","4C",24,0.9,96.75
"373","GPT","4C",25,0.9,96.5
